_row_id,_input_row_index,_source_url,extract_rank,extract_text,is_gap_extract,brief_usefulness_score_0_100,brief_gap_analysis_usefulness_score_0_100,brief_message_usefulness_score_0_100
row::e7f1f7e8e87a9bef63eb1ebac3da5189904e5bfb,0,https://www.nice.org.uk/guidance/qs119/chapter/Quality-statement-4-Ongoing-training-in-adrenaline-auto-injector-use,1,"""Quality statement 4: Ongoing training in adrenaline auto-injector use | Anaphylaxis | Quality standards""",False,35,80,10
row::867924d01a9aa85f39f2116ae11099ff538f3889,1,https://www.nice.org.uk/guidance/cg134,1,“Overview | Anaphylaxis: assessment and referral after emergency treatment | Guidance”,False,25,80,5
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,1,"Patients, or carers of patients, who carry Emerade 300 or 500 microgram adrenaline auto-injector pens should immediately contact their GP to obtain a prescription for, and be supplied with two auto-injectors of a different brand.",False,78,62,72
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,2,"They should ensure they know how to use the replacement pen, as each brand of pen works differently.",False,78,62,72
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,3,This precautionary recall is because some 300 microgram and 500 microgram Emerade auto-injector pens may rarely fail to activate if they are dropped... Premature activation has also been detected... after they have been dropped.,False,78,62,72
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,4,Patients are reminded to carry two pens with them at all times as normal.,False,78,62,72
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,5,"Exposure to high temperature may increase the risk of pen failure... should not be exposed to temperatures above 25°C... If travelling to a hot climate, patients should visit their doctor to obtain a prescription for an alternative brand of adrenaline pen.",False,78,62,72
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,6,"If an Emerade pen does need to be used, it should be pressed very firmly against the thigh. If this does not result in activation, the patient should immediately use their second pen.",False,78,62,72
row::5ceb85f31d582bc9586109f43eee0801cfdd59e4,2,https://www.gov.uk/government/news/patients-asked-to-return-emerade-300-and-500-microgram-adrenaline-pens-for-replacement,7,Training videos on how to use the 0.15mg EpiPen and 0.3mg EpiPen and Jext 150 pen and 300 pen are available on the respective manufacturers’ websites.,False,78,62,72
row::42a2fc4b143ee3649cb071282ebdeed24dfdb719,3,https://www.bsaci.org/guidelines-and-standards/primary-care-guidelines/adrenaline-auto-injector-prescription-for-patients-at-risk-of-anaphylaxis-bsaci-guidance-for-primary-care,1,BSACI primary care guidance: prescribe two AAIs for those at significant risk and advise patients to always carry them.,False,72,70,65
